Epoch 17: duration loss = 1.139 | prior loss = 1.455 | diffusion loss = 0.112
Epoch 18: duration loss = 1.132 | prior loss = 1.452 | diffusion loss = 0.116
Epoch 19: duration loss = 1.124 | prior loss = 1.449 | diffusion loss = 0.113
Epoch 20: duration loss = 1.120 | prior loss = 1.445 | diffusion loss = 0.115
Epoch 21: duration loss = 1.111 | prior loss = 1.443 | diffusion loss = 0.111
Epoch 22: duration loss = 1.107 | prior loss = 1.440 | diffusion loss = 0.113
Epoch 23: duration loss = 1.102 | prior loss = 1.438 | diffusion loss = 0.112
Epoch 24: duration loss = 1.095 | prior loss = 1.435 | diffusion loss = 0.114
Epoch 25: duration loss = 1.090 | prior loss = 1.433 | diffusion loss = 0.111
Epoch 26: duration loss = 1.086 | prior loss = 1.431 | diffusion loss = 0.112
Epoch 27: duration loss = 1.081 | prior loss = 1.428 | diffusion loss = 0.112
Epoch 28: duration loss = 1.075 | prior loss = 1.426 | diffusion loss = 0.111
Epoch 29: duration loss = 1.074 | prior loss = 1.424 | diffusion loss = 0.110
Epoch 30: duration loss = 1.067 | prior loss = 1.421 | diffusion loss = 0.110
Epoch 31: duration loss = 1.065 | prior loss = 1.420 | diffusion loss = 0.111
Epoch 32: duration loss = 1.060 | prior loss = 1.418 | diffusion loss = 0.112
Epoch 33: duration loss = 1.056 | prior loss = 1.417 | diffusion loss = 0.112
Epoch 34: duration loss = 1.053 | prior loss = 1.414 | diffusion loss = 0.113
Epoch 35: duration loss = 1.051 | prior loss = 1.413 | diffusion loss = 0.111
Epoch 36: duration loss = 1.046 | prior loss = 1.411 | diffusion loss = 0.110
Epoch 37: duration loss = 1.042 | prior loss = 1.409 | diffusion loss = 0.110
Epoch 38: duration loss = 1.040 | prior loss = 1.409 | diffusion loss = 0.110
Epoch 39: duration loss = 1.038 | prior loss = 1.407 | diffusion loss = 0.109
Epoch 40: duration loss = 1.033 | prior loss = 1.405 | diffusion loss = 0.110
Epoch 41: duration loss = 1.030 | prior loss = 1.404 | diffusion loss = 0.110
Epoch 42: duration loss = 1.027 | prior loss = 1.403 | diffusion loss = 0.110
Epoch 43: duration loss = 1.024 | prior loss = 1.402 | diffusion loss = 0.112
Epoch 44: duration loss = 1.021 | prior loss = 1.400 | diffusion loss = 0.112
Epoch 45: duration loss = 1.019 | prior loss = 1.398 | diffusion loss = 0.109
Epoch 46: duration loss = 1.018 | prior loss = 1.397 | diffusion loss = 0.111
Epoch 47: duration loss = 1.013 | prior loss = 1.396 | diffusion loss = 0.108
Epoch 48: duration loss = 1.013 | prior loss = 1.395 | diffusion loss = 0.111
Epoch 49: duration loss = 1.008 | prior loss = 1.393 | diffusion loss = 0.108
Epoch 50: duration loss = 1.006 | prior loss = 1.392 | diffusion loss = 0.107
Epoch 51: duration loss = 1.002 | prior loss = 1.391 | diffusion loss = 0.107
Epoch 52: duration loss = 1.002 | prior loss = 1.391 | diffusion loss = 0.108
Epoch 53: duration loss = 0.998 | prior loss = 1.389 | diffusion loss = 0.109
Epoch 54: duration loss = 0.996 | prior loss = 1.388 | diffusion loss = 0.107
Epoch 55: duration loss = 0.995 | prior loss = 1.387 | diffusion loss = 0.107
Epoch 56: duration loss = 0.992 | prior loss = 1.385 | diffusion loss = 0.109
Epoch 57: duration loss = 0.990 | prior loss = 1.385 | diffusion loss = 0.108
Epoch 58: duration loss = 0.986 | prior loss = 1.383 | diffusion loss = 0.107
Epoch 59: duration loss = 0.986 | prior loss = 1.382 | diffusion loss = 0.110
Epoch 60: duration loss = 0.983 | prior loss = 1.382 | diffusion loss = 0.110
Epoch 61: duration loss = 0.982 | prior loss = 1.382 | diffusion loss = 0.106
Epoch 62: duration loss = 0.980 | prior loss = 1.380 | diffusion loss = 0.110
Epoch 63: duration loss = 0.976 | prior loss = 1.379 | diffusion loss = 0.108
Epoch 64: duration loss = 0.976 | prior loss = 1.378 | diffusion loss = 0.111
Epoch 65: duration loss = 0.973 | prior loss = 1.377 | diffusion loss = 0.107
Epoch 66: duration loss = 0.972 | prior loss = 1.377 | diffusion loss = 0.106
Epoch 67: duration loss = 0.970 | prior loss = 1.376 | diffusion loss = 0.105
Epoch 68: duration loss = 0.970 | prior loss = 1.375 | diffusion loss = 0.106
Epoch 69: duration loss = 0.968 | prior loss = 1.374 | diffusion loss = 0.110
Epoch 70: duration loss = 0.966 | prior loss = 1.374 | diffusion loss = 0.106
Epoch 71: duration loss = 0.963 | prior loss = 1.373 | diffusion loss = 0.108
Epoch 72: duration loss = 0.962 | prior loss = 1.372 | diffusion loss = 0.108
Epoch 73: duration loss = 0.960 | prior loss = 1.370 | diffusion loss = 0.106
Epoch 74: duration loss = 0.960 | prior loss = 1.371 | diffusion loss = 0.108
Epoch 75: duration loss = 0.958 | prior loss = 1.369 | diffusion loss = 0.109
Epoch 76: duration loss = 0.956 | prior loss = 1.369 | diffusion loss = 0.107
Epoch 77: duration loss = 0.954 | prior loss = 1.369 | diffusion loss = 0.103
Epoch 78: duration loss = 0.952 | prior loss = 1.367 | diffusion loss = 0.108
Epoch 79: duration loss = 0.953 | prior loss = 1.367 | diffusion loss = 0.104
Epoch 80: duration loss = 0.950 | prior loss = 1.367 | diffusion loss = 0.107
Epoch 81: duration loss = 0.949 | prior loss = 1.366 | diffusion loss = 0.106
Epoch 82: duration loss = 0.948 | prior loss = 1.365 | diffusion loss = 0.104
Epoch 83: duration loss = 0.947 | prior loss = 1.366 | diffusion loss = 0.108
Epoch 84: duration loss = 0.944 | prior loss = 1.363 | diffusion loss = 0.104
Epoch 85: duration loss = 0.943 | prior loss = 1.363 | diffusion loss = 0.105
Epoch 86: duration loss = 0.942 | prior loss = 1.364 | diffusion loss = 0.107
Epoch 87: duration loss = 0.940 | prior loss = 1.362 | diffusion loss = 0.107
Epoch 88: duration loss = 0.939 | prior loss = 1.362 | diffusion loss = 0.107
Epoch 89: duration loss = 0.937 | prior loss = 1.361 | diffusion loss = 0.108
Epoch 90: duration loss = 0.936 | prior loss = 1.360 | diffusion loss = 0.109
Epoch 91: duration loss = 0.936 | prior loss = 1.359 | diffusion loss = 0.107
Epoch 92: duration loss = 0.933 | prior loss = 1.359 | diffusion loss = 0.104
Epoch 93: duration loss = 0.933 | prior loss = 1.359 | diffusion loss = 0.107
Epoch 94: duration loss = 0.931 | prior loss = 1.359 | diffusion loss = 0.104
Epoch 95: duration loss = 0.931 | prior loss = 1.358 | diffusion loss = 0.108
Epoch 96: duration loss = 0.928 | prior loss = 1.357 | diffusion loss = 0.108
Epoch 97: duration loss = 0.927 | prior loss = 1.357 | diffusion loss = 0.106
Epoch 98: duration loss = 0.926 | prior loss = 1.356 | diffusion loss = 0.103
Epoch 99: duration loss = 0.924 | prior loss = 1.355 | diffusion loss = 0.106
Epoch 100: duration loss = 0.921 | prior loss = 1.354 | diffusion loss = 0.103
Epoch 1: duration loss = 1.082 | prior loss = 3.515 | diffusion loss = 0.185
Epoch 2: duration loss = 1.381 | prior loss = 1.601 | diffusion loss = 0.137
Epoch 3: duration loss = 1.339 | prior loss = 1.553 | diffusion loss = 0.130
Epoch 4: duration loss = 1.302 | prior loss = 1.530 | diffusion loss = 0.125
Epoch 5: duration loss = 1.280 | prior loss = 1.516 | diffusion loss = 0.122
Epoch 6: duration loss = 1.263 | prior loss = 1.506 | diffusion loss = 0.124
Epoch 7: duration loss = 1.250 | prior loss = 1.497 | diffusion loss = 0.122
Epoch 8: duration loss = 1.237 | prior loss = 1.492 | diffusion loss = 0.119
Epoch 9: duration loss = 1.227 | prior loss = 1.485 | diffusion loss = 0.119
Epoch 10: duration loss = 1.211 | prior loss = 1.480 | diffusion loss = 0.117
Epoch 11: duration loss = 1.197 | prior loss = 1.475 | diffusion loss = 0.120
Epoch 12: duration loss = 1.183 | prior loss = 1.471 | diffusion loss = 0.119
Epoch 13: duration loss = 1.172 | prior loss = 1.466 | diffusion loss = 0.117
Epoch 14: duration loss = 1.163 | prior loss = 1.463 | diffusion loss = 0.116
Epoch 15: duration loss = 1.153 | prior loss = 1.459 | diffusion loss = 0.114
Epoch 16: duration loss = 1.147 | prior loss = 1.456 | diffusion loss = 0.111
Epoch 17: duration loss = 1.138 | prior loss = 1.454 | diffusion loss = 0.112
Epoch 18: duration loss = 1.129 | prior loss = 1.450 | diffusion loss = 0.116
Epoch 19: duration loss = 1.123 | prior loss = 1.448 | diffusion loss = 0.113
Epoch 20: duration loss = 1.116 | prior loss = 1.443 | diffusion loss = 0.115
Epoch 21: duration loss = 1.109 | prior loss = 1.442 | diffusion loss = 0.111
Epoch 22: duration loss = 1.106 | prior loss = 1.439 | diffusion loss = 0.113
Epoch 23: duration loss = 1.098 | prior loss = 1.437 | diffusion loss = 0.112
Epoch 24: duration loss = 1.093 | prior loss = 1.434 | diffusion loss = 0.114
Epoch 25: duration loss = 1.087 | prior loss = 1.433 | diffusion loss = 0.111
Epoch 26: duration loss = 1.082 | prior loss = 1.430 | diffusion loss = 0.112
Epoch 27: duration loss = 1.079 | prior loss = 1.429 | diffusion loss = 0.112
Epoch 28: duration loss = 1.073 | prior loss = 1.426 | diffusion loss = 0.111
Epoch 29: duration loss = 1.068 | prior loss = 1.424 | diffusion loss = 0.110
Epoch 30: duration loss = 1.063 | prior loss = 1.421 | diffusion loss = 0.110
Epoch 31: duration loss = 1.062 | prior loss = 1.421 | diffusion loss = 0.111
Epoch 32: duration loss = 1.056 | prior loss = 1.417 | diffusion loss = 0.112
Epoch 33: duration loss = 1.051 | prior loss = 1.417 | diffusion loss = 0.112
Epoch 34: duration loss = 1.048 | prior loss = 1.415 | diffusion loss = 0.113
Epoch 35: duration loss = 1.046 | prior loss = 1.412 | diffusion loss = 0.111
Epoch 36: duration loss = 1.041 | prior loss = 1.412 | diffusion loss = 0.110
Epoch 37: duration loss = 1.037 | prior loss = 1.410 | diffusion loss = 0.110
Epoch 38: duration loss = 1.033 | prior loss = 1.408 | diffusion loss = 0.110
Epoch 39: duration loss = 1.034 | prior loss = 1.407 | diffusion loss = 0.109
Epoch 40: duration loss = 1.029 | prior loss = 1.406 | diffusion loss = 0.110
Epoch 41: duration loss = 1.025 | prior loss = 1.404 | diffusion loss = 0.110
Epoch 42: duration loss = 1.024 | prior loss = 1.404 | diffusion loss = 0.110
Epoch 43: duration loss = 1.020 | prior loss = 1.401 | diffusion loss = 0.112
Epoch 44: duration loss = 1.019 | prior loss = 1.401 | diffusion loss = 0.112
Epoch 45: duration loss = 1.014 | prior loss = 1.398 | diffusion loss = 0.109
Epoch 46: duration loss = 1.013 | prior loss = 1.397 | diffusion loss = 0.111
Epoch 47: duration loss = 1.010 | prior loss = 1.396 | diffusion loss = 0.108
